Scan speed(mm/sec),Hatch distance(mm),Power (watt),Layer thickness(mm),Linear energy density(joule/m),Energy density (joule/mm^3),Density (g/cc),Densification
900,0.09,370,0.06,411.11,76.13,2.48,0.992
950,0.09,370,0.06,389.47,72.12,2.48,0.9912
1000,0.09,370,0.06,370,68.52,2.47,0.9864
1050,0.09,370,0.06,352.38,65.26,2.44,0.9776
1100,0.09,370,0.06,336.36,62.29,2.48,0.9908
1150,0.09,370,0.06,321.74,59.58,2.47,0.9876
1200,0.09,370,0.06,308.33,57.1,2.47,0.9892
1250,0.09,370,0.06,296,54.81,2.47,0.9892
1300,0.09,370,0.06,284.62,52.71,2.48,0.992
1350,0.09,370,0.06,274.07,50.75,2.47,0.988
1400,0.09,370,0.06,264.29,48.94,2.47,0.9892
800,0.1,370,0.06,462.5,77.08,2.47,0.9896
850,0.1,370,0.06,435.29,72.55,2.48,0.9912
900,0.1,370,0.06,411.11,68.52,2.48,0.9912
950,0.1,370,0.06,389.47,64.91,2.48,0.9936
1000,0.1,370,0.06,370,61.67,2.47,0.986
1050,0.1,370,0.06,352.38,58.73,2.47,0.9872
1100,0.1,370,0.06,336.36,56.06,2.47,0.986
1150,0.1,370,0.06,321.74,53.62,2.46,0.9832
1200,0.1,370,0.06,308.33,51.39,2.48,0.9912
1250,0.1,370,0.06,296,49.33,2.47,0.9872
1300,0.1,370,0.06,284.62,47.44,2.47,0.9892
1350,0.1,370,0.06,274.07,45.68,2.48,0.9912
1400,0.1,370,0.06,264.29,44.05,2.47,0.9892
800,0.11,370,0.06,462.5,70.08,2.47,0.9896
850,0.11,370,0.06,435.29,65.95,2.48,0.9912
900,0.11,370,0.06,411.11,62.29,2.48,0.99
950,0.11,370,0.06,389.47,59.01,2.48,0.9904
1000,0.11,370,0.06,370,56.06,2.46,0.984
1050,0.11,370,0.06,352.38,53.39,2.48,0.9908
1100,0.11,370,0.06,336.36,50.96,2.48,0.9912
1150,0.11,370,0.06,321.74,48.75,2.47,0.9876
1200,0.11,370,0.06,308.33,46.72,2.47,0.9896
1250,0.11,370,0.06,296,44.85,2.46,0.9848
1300,0.11,370,0.06,284.62,43.12,2.47,0.986
1350,0.11,370,0.06,274.07,41.53,2.48,0.9908
1400,0.11,370,0.06,264.29,40.04,2.48,0.9904
800,0.12,370,0.06,462.5,64.24,2.47,0.9896
850,0.12,370,0.06,435.29,60.46,2.45,0.9804
900,0.12,370,0.06,411.11,57.1,2.43,0.9708
950,0.12,370,0.06,389.47,54.09,2.47,0.9872
1000,0.12,370,0.06,370,51.39,2.47,0.988
1050,0.12,370,0.06,352.38,48.94,2.47,0.9872
1100,0.12,370,0.06,336.36,46.72,2.48,0.9908
1150,0.12,370,0.06,321.74,44.69,2.47,0.9884
1200,0.12,370,0.06,308.33,42.82,2.49,0.9948
1250,0.12,370,0.06,296,41.11,2.49,0.9956
1300,0.12,370,0.06,284.62,39.53,2.46,0.984
1350,0.12,370,0.06,274.07,38.07,2.47,0.9868
1400,0.12,370,0.06,264.29,36.71,2.44,0.974
800,0.13,370,0.06,462.5,59.29,2.48,0.9912
850,0.13,370,0.06,435.29,55.81,2.47,0.9872
900,0.13,370,0.06,411.11,52.71,2.48,0.9904
950,0.13,370,0.06,389.47,49.93,2.47,0.9864
1000,0.13,370,0.06,370,47.44,2.48,0.99
1050,0.13,370,0.06,352.38,45.18,2.48,0.9912
1100,0.13,370,0.06,336.36,43.12,2.46,0.9856
1150,0.13,370,0.06,321.74,41.25,2.47,0.9896
1200,0.13,370,0.06,308.33,39.53,2.47,0.9868
1250,0.13,370,0.06,296,37.95,2.47,0.9872
1300,0.13,370,0.06,284.62,36.49,2.37,0.948
1350,0.13,370,0.06,274.07,35.14,2.46,0.9824
1400,0.13,370,0.06,264.29,33.88,2.47,0.9872
